timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2018-01-02T00:00:00.000Z";"2018-01-02T23:59:59.999Z";"2018-01-02T19:29:19.000Z";"2018-01-02T04:44:18.000Z";"2781";13625;15444.599609375;13163.599609375;14982.099609375;16846600192;251377913955;16778550;"2018-01-02T23:59:59.999Z"
"2018-01-01T00:00:00.000Z";"2018-01-01T23:59:59.999Z";"2018-01-01T00:04:19.000Z";"2018-01-01T14:34:20.000Z";"2781";14112.2001953125;14112.2001953125;13154.7001953125;13657.2001953125;10291200000;229119155396;16776437;"2018-01-01T23:59:59.999Z"
"2017-12-31T00:00:00.000Z";"2017-12-31T23:59:59.999Z";"2017-12-31T20:59:21.000Z";"2017-12-31T00:14:19.000Z";"2781";12897.7001953125;14377.400390625;12755.599609375;14156.400390625;12136299520;237465823980;16774450;"2017-12-31T23:59:59.999Z"
"2017-12-30T00:00:00.000Z";"2017-12-30T23:59:59.999Z";"2017-12-30T00:04:21.000Z";"2017-12-30T16:49:21.000Z";"2781";14681.900390625;14681.900390625;12350.099609375;12952.2001953125;14452599808;217239803085;16772425;"2017-12-30T23:59:59.999Z"
"2017-12-29T00:00:00.000Z";"2017-12-29T23:59:59.999Z";"2017-12-29T06:29:20.000Z";"2017-12-29T11:04:20.000Z";"2781";14695.7998046875;15279;14307;14656.2001953125;13025500160;245793634125;16770625;"2017-12-29T23:59:59.999Z"
"2017-12-28T00:00:00.000Z";"2017-12-28T23:59:59.999Z";"2017-12-28T00:14:19.000Z";"2017-12-28T19:04:21.000Z";"2781";15864.099609375;15888.400390625;13937.2998046875;14606.5;12336499712;244929825575;16768550;"2017-12-28T23:59:59.999Z"
"2017-12-27T00:00:00.000Z";"2017-12-27T23:59:59.999Z";"2017-12-27T06:34:20.000Z";"2017-12-27T17:09:21.000Z";"2781";16163.5;16930.900390625;15114.2998046875;15838.5;12487600128;265559172050;16766687;"2017-12-27T23:59:59.999Z"
"2017-12-26T00:00:00.000Z";"2017-12-26T23:59:59.999Z";"2017-12-26T16:34:21.000Z";"2017-12-26T01:34:21.000Z";"2781";14036.599609375;16461.19921875;14028.900390625;16099.7998046875;13454300160;269908107763;16764687;"2017-12-26T23:59:59.999Z"
"2017-12-25T00:00:00.000Z";"2017-12-25T23:59:59.999Z";"2017-12-25T12:59:20.000Z";"2017-12-25T04:09:21.000Z";"2781";13995.900390625;14593;13448.900390625;14026.599609375;10664699904;235126843805;16762925;"2017-12-25T23:59:59.999Z"
"2017-12-24T00:00:00.000Z";"2017-12-24T23:59:59.999Z";"2017-12-24T00:59:17.000Z";"2017-12-24T12:49:15.000Z";"2781";14608.2001953125;14626;12747.7001953125;13925.7998046875;11572299776;233414163395;16761275;"2017-12-24T23:59:59.999Z"
"2017-12-23T00:00:00.000Z";"2017-12-23T23:59:59.999Z";"2017-12-23T15:14:14.000Z";"2017-12-23T06:24:15.000Z";"2781";13948.7001953125;15603.2001953125;13828.7998046875;14699.2001953125;13086000128;246349213910;16759362;"2017-12-23T23:59:59.999Z"
